Model,Train R²,Test R²,CV R² (Mean),CV R² (Std),RMSE,MAE,MAPE
Random Forest,0.998905013635359,0.9949061966739409,0.9941010148309403,0.0009795786179247013,1.2111181152295707,0.7494491880431546,1.5474880510337847
XGBoost,0.9999998488188221,0.9862408461108882,0.984166291260322,0.002685123076236618,1.9904958561892563,1.5639162249393013,3.0833014599067123
Gradient Boosting,0.9999969418407751,0.9980889332224134,0.9979106650953147,0.00029358821286459694,0.7418282110493369,0.40144061077320503,0.9040411704457787
